Unnamed: 0,sentence,labels
3848,I need the correct spelling of your name since all advice provided is general.,general advice warning/did rep ask for the spelling of customer name?
3849,"Welcome to TIC Insurance. We may record this call for training and monitoring purposes. If you don't wish to be recorded, Please let the next available consultant know. When you speak to our agents, any advice they give you is general advice only. They don't know your personal circumstances or financial situation. So you'll need to weigh up all the info they give you. Along with our product disclosure statement, and then decide for yourself what you want to do. We're committed to working with you to ensure that you understand your options. We will only provide you services related to our product distribution and claims administration in line with the general insurance code of practice established by the Insurance Council of Australia. Take Insurance is an insurance product underwritten by Mitsui Sumitomo Insurance Company. Limited. Europe Assistance Australia, trading as tick insurance, is an authorized representative appointed by Mitsui and Autonomous Insurance. to distribute and administer this insurance product. Mitsui Sumitomo Insurance also engages Europe assistance to provide claims handling services in relation to this insurance product. We are only using and collecting your personal information in accordance with our privacy policy. Our full privacy policy is available online on our website or press nine to know more about it. Just so you know, His insurance policies can only be purchased online, and we cannot provide you with a quote or a new sales via our call center. However, our team are happy to assist existing policyholders with amendments or cancellation of their policies. Please select from the following options. If you had any questions about your policy or you need to make any changes to your policy, please press one. If you're calling for an existing claim or want to lodge a new claim, please press two. Please be advised that you may now log your claims online at WWW dot tech insurance dot com dot eight u at any time. go to the claims section, and log in with your policy information. Please wait one moment, and we'll be right with you for all your travel insurance needs. For new claims, press one. For existing claims, press two. Your estimated wait time is less than thirty seconds. Your assist, doctor",irrelevant
3850,It might be canceled because that's what happened to him.,irrelevant
3851,"Richmond. Richmond. Okay. So we are online from We work on Uk through using our portal online portal. Okay. Okay. Well, I'm just not here at the moment. U. I just wanted to confirm...",purpose of the call
3852,That's completely fine. Shall I send you an email?,irrelevant
3853,"So... Oh, I think yeah. I I... Hold on I'm just gonna do this and then do that for Allan as well. So you said he has cholesterol. Is that correct?",irrelevant
3854,"Um, what's the name of the past? I'll see. They get less. E It's a dog, right? Yeah.",irrelevant
3855,Oh that's that's fine.,irrelevant
3857,Do you guys charge that amount today as well?,irrelevant
3858,I would really appreciate if. If you could give me a callback. My direct number is 02081244093 The number again is 020812440930 christie.,irrelevant
3859,Thank you. Alright.,irrelevant
3860,A email be much better the yeah.,irrelevant
3861,Please confirm your current address The information given is general and may not be tailored to your financial situation,did rep ask the exact customer address?/general advice warning
3862,Speaking on behalf of Marie from Eatonville.,irrelevant
3863,Okay. I'll do that. Thank you.,irrelevant
3864,And the three digit security code. Alright I'm gonna hit process payments.,irrelevant
3865,"You are. Yes. Hi, Andrew. My name is Croatia. I'm calling from Morgan.",call opening greeting
3866,"Yep. Okay. And, um, what is on this list?",irrelevant
3867,That is not Is that with or without the discount? That is with the discount.,irrelevant
3868,Okay. Sorry.,irrelevant
3869,Mitsui Sumitomo Insurance also engages Euro systems to provide claims handling services in relation to this insurance product.,irrelevant
3870,"Sorry. But the person you've called isn't available at the moment. Why not leave a message so they can get back to you Just after the tone. When you finished your message, just hang up. Or hear more options, press one.",irrelevant
3871,"Um, look off. Just trying to get a quiet for entrance.",irrelevant
3872,"Yeah, it's half of my employer. He just wanted to confirm that you had received an email. He sent through on the 26th of nineteen that okay?",purpose of the call
3873,"Yes. This is a quote. And if you if you want the quote writing, I can send it to your email right now.",irrelevant
3874,Hi. Good morning. I have insurance.,irrelevant
3875,"Welcome to AI nausea speaking with Susan. Certainly. Down here. Yes, how can we help you this morning?",call opening greeting
3876,I can just... I'm going to refer to the product disclosure statements under business. I'm just jumping down to that right now. Yeah. Sure. Okay.,irrelevant
3877,Absolutely. 04562 double 4141,irrelevant
3878,"Hold on a moment, please, while we check your birthdate.",call hold/did the rep ask for date of birth?
3879,What is your birthdate and your current mailing address?,did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
3880,Yes. As I understand you could claim the difference between what you purchased and the partial credit if they give you it.,irrelevant
3881,Nathan is there anything else I can help you with?,irrelevant
3882,"Oh, one i've got.",irrelevant
3883,This Charles Ba. My name is Christian. I'm calling from Moo nancy.,call opening greeting
3884,Do you have individual signing Authority on that current month? I seemed so I'm the only one that uses right?,irrelevant
3885,"She's 17 years old, you know. She's a dog trainer and dog behaviorist. So I take everything he says will cost, you know, rush training. You know, I'll be with normal going training.",irrelevant
3886,Bye. And your date of birth? First of my 1995 First of May 85.,did the rep ask for date of birth?
3887,So then you're going to a local. It takes bit more time than that. So I would... I can tell you definitely least sixteen to eighteen weeks is with the local policy birth with us. It's ten to fourteen weeks. Because we an online but you don't have to come to us to give the documents that that hassle is not there. Right? Okay.,irrelevant
3888,"To verify your information, could you provide your current address and another phone number?",did rep ask the exact customer address?/secondary contact numbers
3889,No claims are large during this time. Okay? Anything else of bacon? Just do with pleasure.,irrelevant
3890,Yep. And then I I got put on to you. So if I cancel the policy I've got now for twenty twenty two Will I get all my money back? Since it's outside the fourteen day cooling off period. Day.,irrelevant
3891,"I would really appreciate if you could give me a callback for us to come confirm the details. And if you're happy with, you can get things started you straight away as well. My direct number is 02081244093 The number again is 02081244093 Zach.",irrelevant
3892,"Yeah. Right. So we are an online comme from, Susan.",irrelevant
3893,So you should have the repayments the one y'all. I'm so sorry.,irrelevant
3894,I need to put you on hold while we verify your home address as well,call hold/did rep ask the exact customer address?
3895,Could you please confirm your address and contact number for verification purposes?,did rep ask the exact customer address?/secondary contact numbers
3896,Okay. All right. The credit card? Yes. I've just got to turn off the recording. Might be about,irrelevant
3897,No. No. No. No. No. Now I can't follow your he identification system program because nothing applies. I can everything in high proof that we have a business and a usable Uk address all our money that we're gonna be providing is in the Uk.,irrelevant
3898,They're rolling.,irrelevant
3899,May I confirm your birthdate and the address you have on file?,did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
3900,Let's have a look.,irrelevant
3901,And I'm only inquiry at the moment.,purpose of the call
3902,The rep asked for the spelling of your name after mentioning that the advice is general.,general advice warning/did rep ask for the spelling of customer name?
3903,"Well I i've had it myself. My daughter has had it, but my son hasn't and my husband hasn't. So that would be the only Reason why we would have to cancel the the trip. So okay.",irrelevant
3904,"Until there they only fee to be paid is a file opening fee, you said. File two hundred and twenty pounds. That that's correct. So file opening will be charged from you if you're gonna pull out the transaction.",irrelevant
3905,"Okay. So you'd be touching down back in Australia on the twenty third of the december? Yes. Okay. Alright. And what's your date of birth? Fifth of June nineteen seventy four. It's the second 1974 Okay. And it it'll be yourself, your husband and your two children. Is that correct? Yes. Could you say the fifth of June nineteen seventy four? Correct. Yep. Okay.",irrelevant
3907,The rep mentioned that the advice provided is general and asked for the spelling of your name.,general advice warning/did rep ask for the spelling of customer name?
3908,Just give me a moment while I look up that policy and then I'll just run through some quick security questions with you.,irrelevant
3909,"So that time, that allows my 1000. I haven't used that in high school.",irrelevant
3911,"Will your firm wait for the current application to be completed or are they happy to do another application? Another mortgage on it. Application to language. So depending on this situation, so I myself, I'm not answer.",irrelevant
3912,"Hi. May I have the reason to the call, lisa that I can reach.",purpose of the call
3913,"So we actually have hundred transactions like this and we can handle it for you and if you're happy to go ahead with this, you can give me a call and we can further discuss on how to getting things started from our end.",irrelevant
3915,Can I put you on hold while I check the accuracy of your phone number?,call hold/secondary contact numbers
3916,"Hi. My money that I spoke to a Jody on taking Andi. This is wearing the policy. She was going to send me the details. Have game. Environment has been caught, Mile Aimo, I just want to get that Just stay with She said it.",purpose of the call
3917,"Okay, great.",irrelevant
3918,So if we still make another charge then it may end up as a double payment which I something do not wage. To do for you.,irrelevant
3919,Just gonna hit next and finish. Now I'm gonna jump back on your previous policy. And just issue that full refund. So I'm just gonna time while I do that. Thanks. Okay.,irrelevant
3920,"And and if if there is a premium, how much level cost?",irrelevant
3921,I apologize us. They're just until 5 p.m.,irrelevant
3922,"That's correct. So, it's it's okay so I can throw that away.",irrelevant
3923,And I can also just send you the documents and that'll be valid for thirty days.,irrelevant
3924,"My I just what had to few with you before? Oh, that's excellent.",irrelevant
3925,"Well, they're really if you take a lower benefit.",irrelevant
3927,"So the one that you are calling is, insuring go travel insurance. Why does this number come out? Why is this number Have you tried to check the site and double check the the contact number that you need to the dial. Okay.",irrelevant
3928,"Okay, so is it just this policy that you wanted to cancel my place?",purpose of the call
3929,It will be. Can you confirm that you're aged one hundred years or young arm? And on Australian citizen permanent resident?,was client residency information taken?
3930,"Yeah. Carlos, do you have my email address with you? Yeah. I do. Okay. Perfect. If you can email me your questions, I'll will get back you with the correct answers to you. Satisfied as well for instruct us.",irrelevant
3931,Should I update your name and secondary contact number?,did rep ask for the spelling of customer name?/secondary contact numbers
3932,Yeah. If you wouldn't mind asking me send response. Or it take me? Yes. Stephanie. Do you have a customer say two?,irrelevant
3934,"In fact, and lastly the address",did rep ask the exact customer address?
3935,This with regards to the quotation request amount for the sale of your property.,irrelevant
3936,"Okay. Can I have your claim number, please?",did the rep share the policy number with the client?
3937,"""Good morning. Called through to Laugh here in ensuring guide. How can I help you today?",call opening greeting
3938,Can I put you on hold while I confirm your name and address?,call hold/did rep ask for the spelling of customer name?/did rep ask the exact customer address?
3939,"So, you know, I think with the dental was without eventually, this is without the dental. Yeah, I think we just hit it pretty hard because the victors advance or something.",irrelevant
3940,"Yeah, that's right. He sits can just walk sometimes not with with regards to your wife policy.",irrelevant
3941,"Can I make good name, please so I can remove you from the back list.",irrelevant
3942,We require your birth date and last claim date to proceed with your request.,did the rep ask for date of birth?
3943,So I just wanted to check that it was the same as the other one with regards to Covid. So... So that is an en event.,irrelevant
3944,But are you saying that it wouldn't cover me my my cost in France because he's had a an accident.,irrelevant
3945,"Speaking. Hi. Hi, Deb. My name is Ka croatia. I'm calling from Moo.",irrelevant
3946,I really appreciate it if you could give me a callback. My number is 0208144093 The number again is 02081244093 And i'm the zachary.,irrelevant
3947,That's great. Thank you so much. I'll pass this information on to the gentleman who is coordinating the project wage.,irrelevant
3948,Hi there. Hi there. My name's George..,irrelevant
3949,Yes. I can comfortable to with it. Okay. Will be traveling the loan or it... Or is it loan? Alone. Okay. Now can you confirm to me your age one hundred years or younger and our australian additional permanent resident?,was client residency information taken?
3950,Mh. What do you have you jab Yes. Things.,irrelevant
3951,That's the one. Okay. That's fine.,irrelevant
3952,Welcome to asteron life.,call opening greeting
3953,Yes 07208 right? I did have another one here. Oh 94397 741 was that sounds familiar?,was the customer asked for secondary & next of kin contact numbers?
3954,. So maybe Thursday Thursday.,irrelevant
3955,So I'm really just responding to that request to ring you guys back a policy number is J. 301-6154,did the rep share the policy number with the client?
3956,Yeah. That's that's okay.,irrelevant
3957,Could you confirm your exact address and give us a secondary phone number?,did rep ask the exact customer address?/secondary contact numbers
3958,Just wanna check with you the purchase of your. Cruz.,purpose of the call
3959,Now I know that with a hundred and twelve dollar cheaper.,irrelevant
3960,"So obviously, when the policies to free Newell, it would not have the 10% off. Just have a look.",irrelevant
3962,"Yes, please. Perfect.",irrelevant
3963,Let's confirm the insured person's name and date of birth before proceeding.,did rep ask for the spelling of customer name?/did the rep ask for date of birth?
3964,I forgot that's okay.,irrelevant
3965,So just get some feedback from you around the cancellation.,irrelevant
3966,"All advice is general, so could you kindly spell your name for the rep?",general advice warning/did rep ask for the spelling of customer name?
3967,"See Bernie? Okay. Uh, sorry, ma'am. You're calling for which brand? Um, which ones do you cover?",irrelevant
3968,"""Hello? Hello. This is Leo again calling from verizon",call opening greeting
3969,"I I do understand you you do have property health insurance. However, since this contract insurance does cover you if you cancel due to another you driving another health condition. Apart from as well as Covid nineteen. We do have to do a medical screening. So... Alright. Yep. Now worries that's fine. Yeah. So it's have to read out statement to you.",irrelevant
3970,You said just it's 66363.,irrelevant
3971,May I know what is the travel insurance name? or the company name?,irrelevant
3972,But. Can't Thank you very much sir.,irrelevant
3973,So do you make a change to the policy or make a note of that? Yeah. What I'm gonna do is just gonna go quite fast minutes and just see if I can't clarify you on that. Okay?,irrelevant
3974,"Okay. Thank you very much. Thanks for choosing. Thanks for calling, bye-bye. Bye.",call closing greeting
3975,The law firm you requested for quotation.,irrelevant
3976,Net. Is that correct? Okay. Sorry.,irrelevant
3977,"Under the general level baggage under the general baggage level. So under gold, we cover again, up to three fifteen thousand dollars in total or three thousand dollars for each sub item, like laptop tablets. My phone without having to purchase business missus cover. Oh, okay. But what you're saying is business already included up to limit. Right?",irrelevant
3978,"Okay, so we'll take out that give me my which yes, it's 9470.",irrelevant
3979,So I just wanted to know what to put down being that they're very different breeds of dogs there.,irrelevant
3980,"Did sickness in an accident. Want to start off? Sorry. Thinking aloud. Okay. I have to go back. Sorry about that kind. So you're going to get training, huh? You're going to get three on a mouse for me now, so that's a lot.",irrelevant
3981,Am. I don't know. I can't tell you why but it was certainly being sent out or yes.,irrelevant
3982,"And because P G is known for loan order. So I just wanna make sure this is covered. Yep. Okay. So so three thousand dollars each for each of the items, the laptop and phone. Yeah. So that means... I mean, if I were to see if I disclose those two, I'm practically well... It's... Okay covered for six thousand.",irrelevant
3983,I'll need to transfer you briefly. Could you please verify your birthdate?,call hold/did the rep ask for date of birth?
3984,"Well, let's have a look up on the policy for you. Okay? Now it's saying that the critic now I know what the reason is. Okay so far away.",irrelevant
3985,Gotcha. Okay. And is the mobile phone number you're calling on today? The best number to call?,irrelevant
3986,Obviously you need to us obviously have someone scan that an email through to us off.,irrelevant
3987,Thank you very much for that. Much appreciated.,call closing greeting
3988,I'll trying to get the contact email. Let's go in.,irrelevant
3990,"Okay, it's just I'm just going off the bank. And this would be such a big issue. I shouldn't even just stopped it took us we should be done to stop anything.",irrelevant
3991,"Let me verify your phone number, can you hold on a second?",call hold/secondary contact numbers
3992,So I send That'll do for you to have a look at and is there any M?,irrelevant
3993,"If your failure to tell us what land we may refuse to back Lane and cancel the contract, do you understand and accept the duty of this blow shore? Yes. Okay. Thank you for that. Uh, peace be reminded that there is a six month waiting period for Christian ligament conditions.",irrelevant
3994,Still employed more people just once again. I understand my i will know. Manager? Yeah. Okay. No.,irrelevant
3995,"Before I proceed with the details of the general advice, I would grab your DOB and name.",general advice warning/did the rep ask for date of birth?/did rep ask for the spelling of customer name?
3996,"What is the period of that? According to the last on it up, starting from the thirties.",irrelevant
3997,Would you like to purchase that policy? Yeah.,confirmation to start the policy
3998,Hi. Good morning. This is For Danny. My name is Croatia. I'm calling from Morgan.,call opening greeting
3999,You just need to make sure that leopard or specific issues covered.,irrelevant
4000,"I won't be a moment. I just could be saving me hours. Yeah. Yeah, probably show me. Oh Drive. I'm wondering if it's on me. Okay, all it says on the funeral conversion on their website has you can choose to convert some of your life cover to a monthly premium funeral benefit.",irrelevant
4002,"There are schools. There are three. Okay, Excite 9 40 for double one. Thank you. And may I know how my speaking live remind McCallum? Thank you. I second that. Have a good guy. Uh, Simone,",irrelevant
4003,"It's twenty seventh of my still departure. Mh. And I will arrive back in Melbourne on the twenty ninth of June. Okay. Unfortunately, I can't just track that on because it's bumping up into a new duration bracket.",irrelevant
4004,"Okay, so so as I said because I don't know your financial situation and know how much you're able to afford you can pay off the arrears anytime you'd like.",irrelevant
4005,Am I speaking to to gary?,irrelevant
4006,"So if in case your buyer out of the transaction for any reason, complete out of your hand, we'll not be charging you our legal fees.",irrelevant
4007,"I do apologize. We've just been inundated with the claims at the moment. So I'll ask my colleague, Bella to prioritize yours for you.",irrelevant
4008,"So this... The property she's gonna purchase is not a new property, I believe?",irrelevant
4009,"Are there any existing during think? No, we don't have an excess, but with the peace of mind, you can have a 60 or 70 or 80% benefit Off quoted you on the 80 I well, within the heart that benefit the heart of Premium, you know?",irrelevant
4010,May I confirm your address before proceeding? Please hold.,call hold/did rep ask the exact customer address?
4011,"thanks by""",call closing greeting
4012,Great. Thank you so much. All right. Let me just take a look at what we've got down for your email address.,irrelevant
4013,"""Can't take your call right now. Just leave you a message after the tone. And when you're done, press hash or just hang up.",irrelevant
4014,"It might be a really old number. Okay, I'll take that as well. I'll add on the work number and the email address and I just leave the cell phone number.",irrelevant
4015,Okay. Are you Rachel Father?,irrelevant
4016,I would really appreciate if you could give me My direct number is 02081244093,irrelevant
4017,What's your name?,did rep ask for the spelling of customer name?
4018,The consultant asked for your name's spelling after giving a general advice warning.,general advice warning/did rep ask for the spelling of customer name?
4019,No. Okay. I know. Funny in the body. It?,irrelevant
4020,I'd like you to restate your name and date of birth to complete the process.,did rep ask for the spelling of customer name?/did the rep ask for date of birth?
4021,and your address as well,did rep ask the exact customer address?
4022,I didn't understand what did you mean. Did you mean I had already a case open or did you just say... There was a quote?,irrelevant
4023,What is the information that we could put down? Yes.,irrelevant
4024,What's the suburb and your date of birth? First of my 1995 First of May 85.,did the rep ask for date of birth?
4025,"Welcome to the Ee voice mail. I'm sorry. But the person you've call is not available. Please leave your message after the tone. After you finish your message, just hang up. Or to hear more options, please press one.",irrelevant
4026,He just hadn't heard anything. So he wondered if it had been received yet. But I'll tell him that fine.,irrelevant
4028,"Rat. Yep. Five ten. 112 Yep. Mill Street, South.",irrelevant
4029,So I can actually make a comparison over the weekend with a bit more time when your clothes and then you find riders Olive Friday.,irrelevant
4030,"Right? And also you'll be getting a case manager from the side of the transaction to and I'll be this one person dedicated person to help you out with your consent, give you updates on the transaction.",irrelevant
4031,"To ensure accuracy, could you please spell out your full name and birthdate for our records?",call recording disclaimer/did rep ask for the spelling of customer name?
4032,I'm start right now that is completely fine.,irrelevant
4033,Good luck with everything.,irrelevant
4034,Got a good problem? Yeah.,irrelevant
4035,This morning Lori mobile a claim forms from you guys.,irrelevant
4036,Whatever is. So the the other one it is would you take the policy give six days or missing or that's not working out?,irrelevant
4037,"What was the new address these are you moving to yeah, it's number eight. It's and it's oh k a r e k a. We'll correct Loop Road, and that one for you.",did the rep ask customer's address?
4038,Yes. Perfect I'll give you call five o'clock christian.,irrelevant
4039,Hello. Hello. Good afternoon. Am speaking with Joe?,call opening greeting
4040,Yes. Okay. Perfect. Perfect.,irrelevant
4041,May I put you on hold while I confirm your mailing address?,call hold/did rep ask the exact customer address?
4042,This with regards to the quotation request you made last week for the purchase of your property.,irrelevant
4043,Can I know your good name?,did rep ask for the spelling of customer name?
4044,"Oh, that's wonderful. Okay. Straight to Asia.",irrelevant
4045,May I confirm your address real quick while you stay on the line?,call hold/did rep ask the exact customer address?
4046,"That is the case. Okay, no problem. We'll let the customer know that. I just want to get back to them as soon as possible because they're not very happy. They've been on hold for a long time, but thank you.",irrelevant
4047,Thank you for calling guy Doug. Spread insurance. This is God speaking. I'm helping your pet today.,call opening greeting
4048,"To get in the green, you need the cover of... I think it's thirty five thousand and Us dollars. Yep. See that I'll get that inquiry lot. So, yeah. Just one hour silver and gold, we do offer Covid cover and medical medical cover as well. So for medical cover, we do up to a unlimited amount. And then in relation Covid, for cancellation and trip disruption on the silver, you'll be getting two thousand five hundred, whereas in the goal you'd be getting five thousand and it medical expenses relating covid is also up to unlimited amount. Yep. All I wanted set the cheap one so I can get into the philippines. The cheap one... So for the covid cover of the cheapest we have is the silver. And that comes down to two hundred and twenty seven dollars and sixty two cents. Yeah. Yep.",irrelevant
4049,This call is being recorded for your security. Can you verify your home address and phone number before we start?,call recording disclaimer/did rep ask the exact customer address?/secondary contact numbers
4050,"Before moving on, could you confirm the name and birth date of the beneficiary?",did rep ask for the spelling of customer name?/did the rep ask for date of birth?
4051,"Upon acceptance of your application, a combined policy book, which includes product disclosure statement, turns the conditions and financial service is side will be sent to within five working days of your commencement day. Carefully read those documents to ensure the product meets your needs.",irrelevant
4052,"Yes. Fantastic. Now Christine, where will you be traveling to?",irrelevant
4053,"""Hello. Good afternoon. Am I speaking with Deb?",call opening greeting
4054,Sorry. We're about my address.,irrelevant
4055,Hi. Isolation from sales going.,irrelevant
4056,"Now, that'll have a certificate insurance policy number.",irrelevant
4057,So the property key address I got it from your email for Sheryl Road. That was what code is Romeo Mike eight one Papa tango.,irrelevant
4058,"Once you start up a new policy with us Well, that will be included on the policy documents that you will be receiving.",irrelevant
4059,thank you. Check the spelling of your first name p for Papa r i e c i l a y.,did rep ask for the spelling of customer name?
4060,I'm calling on behalf of my husband.,irrelevant
4061,"I've never had a dog with mental illness, but anyway, but yes, probably the middle one.",irrelevant
4062,Yep. Okay.,irrelevant
4063,That's an investment definitely with an H to take the plan.,irrelevant
4064,Could you please hold while I spell your name and check your address?,call hold/did rep ask for the spelling of customer name?/did rep ask the exact customer address?
4065,"That's right. That's right. Yeah, so if you pass away, yeah the money forms part of your estate. That's what I said.",irrelevant
4067,So your total premium comes down to two hundred and sixty seven dollars and eighty six cents.,was policy cover cost given?
4068,"Let's just puffing these details around now. We'll see in that showing on that bill for eight 7:22. And that is the amount we're looking for today. Is that correct?  And what's the card number, please?",irrelevant
4069,What's the new road? Is it? Is it the one?,irrelevant
4070,And are you happy to proceed with the policy on this racist Simone? Yes.,consent to proceed
4071,What is your full name and your DOB please.,did rep ask for the spelling of customer name?/did the rep ask for date of birth?
4072,Hi. Good evening.,call opening greeting
4073,"Your name is now updated next, I'll give you the general advice information.",did rep ask for the spelling of customer name?/general advice warning
4074,"And if you tell me oh, this is an extra price and if you an extra i'll not be happy basically. So... Right. I want how you get Yeah. Yep. I do get you. I do get you.",irrelevant
4075,Hi. This is Glenda. My name is Christian. I'm calling from Financing.,call opening greeting
4077,So we can cover all of these conditions for an additional medical premium of eighty six dollars and six two cents. Okay. So that's it comes to... Yeah. On top of that. Right?,irrelevant
4078,Yes. Okay. Perfect. It will be a cash purchase. Yes. A perfect sec.,irrelevant
4079,"Okay, Great on, then. It can get ways on the six months. Yes, of course.",irrelevant
4080,So please arrange a quote for Dora to have her mortgage and rent cover to her.,irrelevant
4081,"Okay, right Thursday because I got a form set on Thursday straight away.",irrelevant
4082,Got the ability to scan things man.,irrelevant
4083,Yep. No problem. Your first name?,irrelevant
4084,. Is that rush to pay monthly by direct debit. So according to our records there are two there's two months outstanding at the moment.,irrelevant
4085,Could you share your birth year and the full address where you currently reside?,did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
4086,So easy. Just proceeding correct. You said to... Did you mention to sw? Sorry you mention your trip was to thailand? Yeah. That's still okay. Oh philippines sorry my bad. Has a been cloudy in the morning. So that comes under the Asia bracket.,irrelevant
4087,"Yeah. Smart puppies get up, Mr. Anyways, that, uh yeah.",irrelevant
4088,Yep. This did you put in your routine character?,irrelevant
4089,Okay. What?,irrelevant
4090,Thank you. Want to thank you so much for you call Cuz anything else in the hospital Monday through Friday from 8 a.m. To 6 p.m. As well.,call closing greeting
4091,Go ahead. Good. I have I... It's on my email.,irrelevant
4092,Yeah. It's bravo alpha one. Mh.,irrelevant
4093,I'd like you to spell your name and confirm your address again to ensure completeness.,did rep ask for the spelling of customer name?/did rep ask the exact customer address?
4094,We ask you to be respectful to the agent. abusive behavior will not be permitted. Please wait one moment and we'll be right with you for all your travel insurance needs.,irrelevant
4095,"Okay. Okay. Uh, so I just need to record the regular vet practice off your fat. What is still a regular Very that cool Ashman?",irrelevant
4096,"Right. Hip surgery, 7600 left hip surgery.",irrelevant
4097,I'm doing well.,irrelevant
4098,"It costs to get 145 back. Yeah, Okay, so what? We were adding that will make the $46.61 ad model. So if you had the 9 50 on. That's $50.9. Yes, the article as non 50 to those three choices.",irrelevant
4099,I'll also put a link to our plans and linked to our product disclosure statement A link to our routine.,irrelevant
4100,"For our records, can you spell your full name and provide your birth date?",did rep ask for the spelling of customer name?/did the rep ask for date of birth?
4101,"I get to tell much of our cities for 12 months Quite easy. Leave you like that. No problem for Mickey. Are you looking for accident and illness? Uh, pretty much.",irrelevant
4102,"Hello, how can I help I have a premium to be paid off soon look into that there for you now.",purpose of the call
4103,"You do get the 1st 2 months free on that will be deducted from your monthly payments for the first year. OK, now, as you know, pen insurance is a 12 month contract.",irrelevant
4104,"It's Mr Mrs or Miss. Sorry, missy. This is a n d a. And you.",irrelevant
4105,Unit nine three. Yep. Forty eight two fifty eight.,irrelevant
4106,Cancel that one. And I set up a new one with the correct set of books.,irrelevant
4107,"Hello. Hello, Good morning.",irrelevant
4108,"And then after you 21 day cooling off, period up, we said you at one more email and you can choose the dog tag and, well, actually engraved names on the back number, whatever you like.",irrelevant
4109,"So I know with other the horrible vehicle, there's no claim discounts... I far them away, we don't have our claim discounts. Okay. Alright. Say Go.",irrelevant
4110,Hi. This is mc Frost. My name is I'm calling from Morgan Man.,call opening greeting
4111,"Oh, okay. Perfect. This is what I'll do from mine. Is your judge's send you general quotation, and I'll leave it talk to you once you're ready. You get o'clock.",irrelevant
4112,EX42P for peter f for Freddie. Okay.,irrelevant
4113,I paid someone seemed it to me and I'll forward it to you shortly.,irrelevant
4114,It's just just and fucky capture.,irrelevant
4115,"Welcome to the Ee voice mail. I'm sorry, but the person you've call is not available.",irrelevant
4116,Okay. Willie he actually she call me back because he still hasn't emailed him back from last week.,irrelevant
4117,Yep. Okay. Can you hear me well?,irrelevant
4118,Welcome to asteron life. You're speaking with you.,call opening greeting
4119,Thank you for waiting please let us know the year you were born,call hold/did the rep ask for date of birth?
4120,"Let me just have a look at that for you, Gary.",irrelevant
4121,"a lie. Hello. I think something if I could get a quite a pop, please.",purpose of the call
4122,"Before holding, could you confirm your exact address?",call hold/did rep ask the exact customer address?
4123,Okay. Thursday is one of the dates understand you.,irrelevant
4125,"I can't. And, uh, Jack, I can't Sorry, Jack. Jack, right?",irrelevant
4126,Please hold while I check your secondary contact number.,call hold/secondary contact numbers
4127,Yes. What's your PIN number?,irrelevant
4128,"My name is Justin. Thank you. So just before I hit submit, I'm David in your NX car $360 51, is that correct? Justin?",irrelevant
4129,"Following the general advice, could you provide the correct spelling of your name?",general advice warning/did rep ask for the spelling of customer name?
4130,I need to place you on hold briefly to confirm your exact address.,call hold/did rep ask the exact customer address?
4131,"6151 Yeah, Chance. Correct. And did you have a promotional code?",irrelevant
4132,Hi. Hello good man speaking Alicia?,call opening greeting
4133,"So, it's coming from the bank account.",irrelevant
4134,"I can just reinstate it with the bank again, and I've been going to do it.",irrelevant
4135,What type of card does that?,irrelevant
4136,Welcome to AA Asha speaking with Susan,call opening greeting
4137,I can't stop in talk right now. I'm at work. So I'll give you my credit card number.,irrelevant
4138,Okay. Hi Dale you there? Yeah. Okay. So I've just gone through the policy and run up the quote for veronica.,irrelevant
4139,"So the last collection that for Casper was back in the 17th of this month. So what would you like to be adjusted? Um, trees stays is always good to lately.",irrelevant
4140,Please bear with us as we check your date of birth.,call hold/did the rep ask for date of birth?
4141,Hendricks and manager know where they have existing policy so I can add to your new puppy.,irrelevant
4142,May I confirm your birthdate and the exact address you are residing at?,did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
4143,Excellent. Thank you. Have you still got your email address on your golf?,irrelevant
4145,Thank you,irrelevant
4146,Correct. Okay. And and what's your title is it missus all miss or?,irrelevant
4147,"Okay, Is this for an additional pet? Or you're still gonna be setting up on your brand new policy running.",irrelevant
4148,"She was like, First of all, we can take this...",irrelevant
4149,it'll credit card. That's the one thing that I want to ask you.,irrelevant
4150,No problem when you see I didn't take care.,call closing greeting
4151,"Welcome to Tic Insurance. Please be advised that you may now log your claims online at WWW dot Take Insurance dot com dot au at any time. Type to the claims section and log in with your policy information. Please wait one moment and we'll be right with you for all your travel insurance needs. For new claims, press one. For existing claims, press two. Your estimated wait time is less than two minutes.",irrelevant
4152,I need to ensure I have your correct name and address before we proceed.,did rep ask for the spelling of customer name?/did rep ask the exact customer address?
4153,"We work call Uk out online portal, you get an online portal for yourself to see what's going on with the transaction. Right?",irrelevant
4154,I need to put you on hold to verify your home address,call hold/did rep ask the exact customer address?
4155,Okay. Thank you. Take bye,call closing greeting
4156,Please wait a moment while we transfer you through to our experienced tech insurance claims and complaints team.,irrelevant
4157,"State of, um um, uh, Sprite Mother Glass. 30 years of the 6 2019 And she's a female.",irrelevant
4158,That was my problem. I had okay asteron light bulb. 70120.,irrelevant
4159,I need to be able to tell you about it.,irrelevant
